Gevonden: 212 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | Hinderdam | 5 a | 1394JB | Nederhorst den Berg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 's-Gravelandseweg | 36 | 1381HK | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10832 | St. Annastraat | 20 | 1411PH | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | Lange Muiderweg | 30 | 1382LA | Weesp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12333 | Oud-Loosdrechtsedijk | 15 | 1231LN | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12456 | Rijksstraatweg | 3 | 3631AA | Nieuwersluis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12658 | Oud-Loosdrechtsedijk | 35 | 1231LP | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12663 | Kanaaldijk Oost | 8 | 1393PA | Nigtevecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12877 | Kleiweg | 27 | 1396HW | Baambrugge
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13282 | Nigtevechtseweg | 43 | 3633XR | Vreeland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | Kortenhoefsedijk | 149 | 1241LX | Kortenhoef
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | Kortenhoefsedijk | 150 | 1241LZ | Kortenhoef
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14320 | Rijksstraatweg | 228 | 3634AN | Loenersloot
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15061 | Duinkerken | 5 | 3633EM | Vreeland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15553 | Oude Dijk | 3 | 1391KP | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16357 | Oud Aa | 34 A | 3621LC | Breukelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16570 | Oud-Loosdrechtsedijk | 7 | 1231LN | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16570 | Oud-Loosdrechtsedijk | 9 | 1231LN | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16868 | Rijksstraatweg | 119 | 3632AB | Loenen aan de Vecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18235 | Gein-Zuid | 53 | 1391JH | Abcoude
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18276 | Naardermeer | 13 | 1412CV | Naarden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18386 | Ockhuizerweg | 20 | 3455RW | Haarzuilens
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18500 | Oud-Loosdrechtsedijk | 30 | 1231NA | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18500 | Oud-Loosdrechtsedijk | 34 | 1231NA | Loosdrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18644 | Dr. Welfferweg | 27 | 3615AK | Westbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19175 | Straatweg | 224 | 3621BZ | Breukelen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19261 | Oud-Loosdrechtsedijk | 86 | 1231NC | Loosdrecht
