Gevonden: 583 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293074480152727 51.69480913219699)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11114 | 31705 | Point (4.293073103087791 51.69480917647467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806158419295816 51.4156522923879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | 9966 | Point (3.806154984445021 51.415653196487526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427281142040398 51.60182548322776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427282685567459 51.60182563548109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985934474905607 51.26137558565471)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11829 | 22795 | Point (3.985938266609207 51.261375062534285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.42813124712367 51.809964141583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.428132076757907 51.80996428648185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819231255748704 51.49318059111359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12266 | 16402 | Point (3.819234253693612 51.493179705965645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.24753704013358 51.84690332757336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.247537855162298 51.846903208960526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293912864591789 51.995491310774106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293913065484755 51.99549126470056)
