Gevonden: 73 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | Arent van Lierstraat | 26 A | 3297AB | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | Arent van Lierstraat | 26 | 3297AB | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11140 | Groeneweg | 18 | 3297LA | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | Kwakscheweg | 6 | 3261LG | Oud-Beijerland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12922 | Zwanegatsedijk | 3 | 3299LT | Maasdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | Dorpsdijk | 16 | 3161KE | Rhoon
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13328 | Achterzeedijk | 48 | 2992SC | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13522 | Hoflaan | 1 | 3271BD | Mijnsheerenland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14412 | Develweg | 1 | 2995XC | Heerjansdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15010 | Raadhuislaan | 7 | 3271BS | Mijnsheerenland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16771 | Voordijk | 388 | 2993BB | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18136 | Dorpsstraat | 177 | 2992AA | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19191 | Achterambachtseweg | 6 | 3342LB | Hendrik-Ido-Ambacht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20571 | Lindtsedijk | 13 | 2995XL | Heerjansdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21710 | Arent van Lierstraat | 11 | 3297AA | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21710 | Arent van Lierstraat | 11 A | 3297AA | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22504 | Carnisseweg | 54 | 2993AE | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23196 | Voordijk | 412 | 2993BC | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23196 | Voordijk | 414 | 2993BC | Barendrecht
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24358 | Ring | 604 | 3195XT | Pernis Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27583 | Ring | 16 | 3195XN | Pernis Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27583 | Ring | 20 | 3195XN | Pernis Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27583 | Ring | 24 | 3195XN | Pernis Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27583 | Ring | 28 | 3195XN | Pernis Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29304 | Voorweg | 2 | 2988CG | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30132 | Kapelburg | 296 | 3085HV | Rotterdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30620 | Develsluis | 34 | 2995XB | Heerjansdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30620 | Develsluis | 36 | 2995XB | Heerjansdam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30864 | Arent van Lierstraat | 18 | 3297AA | Puttershoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31054 | Molendijk | 7 | 3161KJ | Rhoon
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32616 | 1e Kruisweg | 35 | 3261LL | Oud-Beijerland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32956 | Waalweg | 39 | 2988CH | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33098 | Noldijk | 41 | 2988CD | Ridderkerk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35536 | Kerkstraat | 25 | 3171GD | Poortugaal
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38018 | Steenenstraat | 2 | 3262JM | Oud-Beijerland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38359 | Brabersweg | 4 | 3271LD | Mijnsheerenland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38607 | Rijksstraatweg | 67 | 2988BB | Ridderkerk
