Gevonden: 710 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569183324571433 51.80847942848703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10722 | 32243 | Point (4.569184054678477 51.80847975035778)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10771 | 34940 | Point (4.75080502211812 51.90491120273821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596284723144115 51.868008714987084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10898 | 32510 | Point (4.596285259548558 51.86800906749566)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439035440760338 51.777593766215084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11095 | 23664 | Point (4.439036372933047 51.777593926335655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11140 | 32244 | Point (4.555392589545119 51.80383445173398)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11277 | 19957 | Point (4.758357587299598 52.00073271345966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11483 | 8999 | Point (4.749025849183287 51.93606464880962)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427282685567459 51.60182563548109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11540 | 526650 | Point (4.427281142040398 51.60182548322776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11629 | 387601 | Point (4.717133939150447 51.606281049201996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11629 | 387601 | Point (4.717135063884747 51.60628153755732)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11647 | 33275 | Point (4.657254469079454 51.558794381688045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434882880936 52.08204294314316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11689 | 9758 | Point (4.755434812512175 52.08204346509814)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.428132076757907 51.80996428648185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.42813124712367 51.809964141583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12363 | 9638 | Point (4.759993980630164 51.86808969277576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529015974443088 52.007202295302314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529016106245794 52.007202570683745)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12922 | 26547 | Point (4.520221726175837 51.794518796033664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12922 | 26547 | Point (4.520222536516981 51.794519059554766)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416562663958276 51.86165408151197)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416563321025207 51.861654210234505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13046 | 9767 | Point (4.799942814646909 52.08451120120927)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13046 | 9767 | Point (4.799942746286236 52.084511763612824)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | 8998 | Point (4.764502017501203 51.93681226322686)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13071 | 8998 | Point (4.764502299479456 51.936812789012336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.598654136440637 51.9242036817368)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.59865450701457 51.92420403719552)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13328 | 8597 | Point (4.530576083303533 51.83552087681009)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13328 | 8597 | Point (4.530576757340887 51.8355211523826)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306399371472 52.06046704050618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306442442822 52.0604668279408)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13476 | 25746 | Point (4.678971955095434 51.89498129757175)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13494 | 10416 | Point (4.704301624134827 51.56217990845966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13494 | 10416 | Point (4.704300371565048 51.56217942981632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13522 | 30145 | Point (4.495702567064723 51.79705887807215)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13522 | 30145 | Point (4.495701745642597 51.79705864507031)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.387204465700454 51.94735921661131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.38720482906271 51.94735930532278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.41858784870208 52.099305765737924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.418587661758173 52.09930590248643)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14024 | 31897 | Point (4.727697620175857 51.860479213071855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14105 | 15423 | Point (4.651590130127625 51.58531209510968)
