Gevonden: 647 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056467207100075 52.28257982895145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056466892212574 52.28258058935722)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Point (5.078572120636292 52.29858465346226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.77468207200578 52.75023551257957)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10489 | 498885 | Point (4.774683805115308 52.75023489207809)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993735474825256 52.39468025850131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10666 | 6745 | Point (4.993734911899015 52.39468099337441)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911615496157619 52.548730511397935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | 8840 | Point (4.911614517478468 52.54873121050242)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658419304403318 52.72330244213983)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10974 | 33831 | Point (4.658421239440943 52.7233019414519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644298240220026 52.59733880447027)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11650 | 515973 | Point (4.644299829230548 52.59733834060871)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794377615245266 52.78563526329118)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11735 | 33052 | Point (4.794375840676091 52.78563590845013)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747323728338 52.31850327169475)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11917 | 38555 | Point (5.065747683994305 52.318502502700845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055979494765373 52.74081730893973)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12261 | 30686 | Point (5.055980526712559 52.740816483562945)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12663 | 30631 | Point (5.023833703078119 52.275096820228136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12725 | 30724 | Point (5.069168676423991 52.74753048846903)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.94894863241612 52.67879385558711)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12767 | 31801 | Point (4.948949799756465 52.67879310843567)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12877 | 7008 | Point (4.986884919239275 52.24861609636279)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12877 | 7008 | Point (4.986885234411256 52.248615380704045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877056788489601 52.61884151049217)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12929 | 33113 | Point (4.877057981129132 52.61884082662835)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670302161256246 52.28249577792424)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13241 | 510065 | Point (4.670301519859137 52.28249622975438)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13282 | 26149 | Point (5.043884663876842 52.2495234701478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13471 | 37410 | Point (4.931704480774813 52.22040920251373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13471 | 37410 | Point (4.931704179019428 52.2204098784329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739706738358873 52.26439951685759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13766 | 6838 | Point (4.739707275100398 52.264398997340045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13877 | 510888 | Point (5.071554285670986 52.74941508394786)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13877 | 510888 | Point (5.071555293472322 52.74941424841416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | 22619 | Point (5.04755394898041 52.66047709494847)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13951 | 22619 | Point (5.04755486988266 52.66047628894863)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650953778595969 52.3906192105935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14031 | 19274 | Point (4.650954748304256 52.390618767987334)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | 17396 | Point (5.090615441491715 52.229310496364604)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14084 | 17396 | Point (5.09061565303459 52.229309722368505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.89022808490888 52.422593300684746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14287 | 6575 | Point (4.890227336314463 52.42259396643965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 6795 | Point (4.962881810666023 52.41008709951585)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14301 | 6795 | Point (4.962882440069484 52.41008638299605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14320 | 26107 | Point (4.998633204197971 52.229672901599294)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14343 | 522183 | Point (4.849910703112871 52.507907683091666)
