Gevonden: 42 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10813 | Rijperweg | 66 | 1462ME | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15316 | Rijperweg | 40 | 1462MC | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16940 | Hobrederweg | 26 | 1462LK | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17058 | Volgerweg | 26 | 1462HR | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18241 | Middenweg | 193 | 1462HM | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20031 | Nieuwvaartje | 12 | 1135BJ | Edam
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20471 | Volgerweg | 46 | 1461HS | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22608 | Westeinde | 3 | 1474HA | Oosthuizen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 a | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 d | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 g | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 b | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 c | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 e | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 f | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 h | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22939 | Oostdijk | 13 | 1461DR | Zuidoostbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23163 | Middenweg | 105 | 1462HG | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25146 | Volgerweg | 37 | 1462HR | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25146 | Volgerweg | 36 | 1462HR | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26339 | Volgerweg | 27 | 1462HR | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/27422 | Middenweg | 190 | 1462HM | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29336 | Beets | 86 | 1475JG | Beets
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29423 | Middenweg | 194 | 1462HM | Middenbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31884 | Oosterweg E | 20 | 1481AP | Purmer
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32654 | Middenweg | 44 | 1463HC | Noordbeemster
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/34767 | Gevangenpoortsteeg | 7 | 1135AD | Edam
