Gevonden: 646 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10087 | Waalbandijk | 5 | 6657KB | Boven-Leeuwen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10098 | Onderstraat | 6 | 7226LD | Bronkhorst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10173 | Lekbandijk | 25 | 4119RA | Ravenswaaij
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10175 | Wolfhoeksestraat | 3 a | 6662PH | Elst
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10459 | Heiligegeeststeeg | 3 | 6981AW | Doesburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10495 | Langbroekerdijk A | 30 | 3947BJ | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10735 | Baakseweg | 12 | 7251RH | Vorden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | Zalkerdijk | 39 | 8276AB | Zalk
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10964 | Van Heemstraweg | 37 | 6645KE | Winssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11022 | Bandijk | 17 | 7396NB | Terwolde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11022 | Bandijk | 19 | 7396NB | Terwolde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11278 | Hunderenslaan | 10 | 7391TB | Twello
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11448 | Kerkstraat | 32 | 6675BS | Valburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11461 | Waalstoep | 1 | 5328CA | Rossum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11726 | Langbroekerdijk B | 8 | 3947BB | Langbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11805 | Leegstraat | 14 | 6645BC | Winssen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11934 | Dorpsstraat | 23 | 4033EW | Lienden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12008 | Leuthsestraat | 8 | 6575JE | Persingen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12053 | Waalstoep | 3 | 5328CA | Rossum
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12181 | Tielsestraat | 129 | 6675AC | Valburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12192 | Keizershofweg | 3 | 7383CG | Voorst
