Gevonden: 3628 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10009 | 22803 | Point (6.233440789560769 52.00611847256203)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10045 | 32116 | Point (5.804414539303473 51.767794256525576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306224522282 52.27294051454717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10065 | 9605 | Point (5.249306083610206 52.27294135777735)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056467207100075 52.28257982895145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10069 | 30290 | Point (5.056466892212574 52.28258058935722)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10087 | 523087 | Point (5.566618392253106 51.89020110486803)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10098 | 34561 | Point (6.1797951177705 52.075847144413366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566262020193 51.67769520943255)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566414781632 51.6776960734073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916543026976 51.66827063065985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916345853808 51.66826977095106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10173 | 28312 | Point (5.333001442004697 51.9531799046011)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10173 | 28312 | Point (5.333001548670836 51.95318075199694)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10175 | 523675 | Point (5.842109122725913 51.89837333659632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10176618 | 532516 | Point (5.078572120636292 52.29858465346226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10258 | 22819 | Point (6.268064359182889 52.002583474011175)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10266 | 22818 | Point (6.266432091311117 52.006236069071036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
