Gevonden: 600 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101761449171687 53.14579436084177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101759140150004 53.145793557236544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860292009184255 53.04967242570359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860290737134256 53.04967149622885)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895625006502764 53.19525303087713)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895623427900585 53.19525208102647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12106 | 35965 | Point (5.778009644588288 53.04201682449439)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920999967427598 52.93176760567124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920998641945065 52.93176673453182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12603 | 10500 | Point (6.090691261587661 52.717530352645596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13257 | 523369 | Point (5.785917177346325 53.13678411760164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13257 | 523369 | Point (5.785916090126711 53.1367831346635)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776884135634058 52.94476215648651)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776883244832257 52.94476121732406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13345 | 8508 | Point (5.736069991577632 53.1146726443896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13345 | 8508 | Point (5.736069109640537 53.11467165018185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13423 | 10526 | Point (6.08427062444078 52.75029021474899)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941475418593825 53.13133991619158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941473746131514 53.13133900824879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13783 | 8488 | Point (5.711724272341527 53.16429797361561)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13783 | 8488 | Point (5.711723451240251 53.16429695912818)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14139 | 10501 | Point (6.089819806432167 52.725956456122596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187346943052654 52.63373282382467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187345474110611 52.63373219876348)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14508 | 10509 | Point (6.033911680405454 52.7270912520894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.197518071396588 52.60129101706486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.19751665664483 52.60129040600222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156575347862103 52.831950500169306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156573510934796 52.831949813205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15193 | 10513 | Point (6.089810836494501 52.7494218470666)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15233 | 10511 | Point (6.090582239041285 52.73750040378635)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15658 | 507289 | Point (6.15356831787601 52.72299264796259)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15658 | 507289 | Point (6.153566725228574 52.722991979006146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16384 | 510496 | Point (6.023831567852995 52.96356121144577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | 34310 | Point (6.198666697332998 52.6387788956607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16418 | 34310 | Point (6.19866519332995 52.63877827980544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148079785591984 52.866460779104806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148077897902741 52.86646007803391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16790 | 34336 | Point (6.199306000983396 52.64227899817494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16790 | 34336 | Point (6.199307514452576 52.64227961401683)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16987 | 22887 | Point (5.817831574450824 53.10490835998665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16987 | 22887 | Point (5.817830396862242 53.10490739790469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17508 | 34288 | Point (6.195391310922766 52.637408165759176)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17508 | 34288 | Point (6.195389816898351 52.63740754720963)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17792 | 34338 | Point (6.198559732114775 52.64259029404674)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17792 | 34338 | Point (6.198558219488816 52.64258967748848)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17941 | 34471 | Point (6.183906641628455 52.630556416152366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17941 | 34471 | Point (6.183905186994969 52.630555788583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17949 | 10496 | Point (6.090697859359809 52.72347980550731)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18011 | 514753 | Point (5.948392853085229 52.659852423418606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18011 | 514753 | Point (5.948391838997378 52.65985162073872)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18173 | 34380 | Point (6.18541365066757 52.63147137096418)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18173 | 34380 | Point (6.185415110479807 52.631471997359576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18187 | 20855 | Point (5.788315084829696 52.98587182986525)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18187 | 20855 | Point (5.788316048089061 52.98587277432215)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18255 | 8503 | Point (5.729809597375611 53.12378444997811)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18255 | 8503 | Point (5.729808732692888 53.123783451482126)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18637 | 34466 | Point (6.184048398079363 52.63185864303622)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18637 | 34466 | Point (6.18404694019761 52.631858015386115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18675 | 34448 | Point (6.186156119556449 52.63567313326249)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18675 | 34448 | Point (6.186154648650179 52.63567250685077)
