Gevonden: 623 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10404614 | 532539 | Point (6.688778283748342 52.16009693456121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10444 | 7552 | Point (6.692745120569566 52.30653491519615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10989 | 516432 | Point (6.526977230635244 52.13813145207932)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212701211373748 52.64819992131554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212699655861473 52.6481993165875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11329 | 20021 | Point (6.583263770193374 52.5458839066637)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11361 | 39662 | Point (6.247144016936804 52.68133498410361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11946 | 31464 | Point (6.529474689508625 52.513778322848225)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242051855459219 52.67356106585662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242053535602049 52.673561647482195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.225038768760185 52.69474850764085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.2250404626001 52.69474910875138)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12692 | 8452 | Point (6.335602734662185 52.65171360237734)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13175 | 18860 | Point (6.690899067790958 52.144145096391874)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13176 | 7556 | Point (6.616781094453255 52.24278415155277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13443 | 17200 | Point (6.713816935260826 52.61154819286266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13983 | 21366 | Point (6.230630180974687 52.45883031485427)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13991 | 31463 | Point (6.528484054329114 52.514210299971936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14504 | 9891 | Point (6.50054953601275 52.13163349497167)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14648 | 507394 | Point (6.332873406839077 52.6643802989926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14648 | 507394 | Point (6.332875261062705 52.664380787896064)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14825 | 9886 | Point (6.527547590799342 52.13872818092226)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14918 | 46799 | Point (6.324440106545431 52.58144714374966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14967 | 34266 | Point (6.221880821132002 52.65078649185473)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14967 | 34266 | Point (6.221882402245304 52.65078708859828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15267 | 15275 | Point (6.201556769749328 52.6417513147785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15267 | 15275 | Point (6.201558286696667 52.64175192852506)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15346 | 41110 | Point (6.432716059242972 52.68308333712017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15346 | 41110 | Point (6.43271818804386 52.68308371669974)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15395 | 34261 | Point (6.217642428802381 52.648587296353945)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15395 | 34261 | Point (6.217643995679306 52.64858789663505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15685 | 21400 | Point (6.449468343180204 52.44055899046965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15685 | 21400 | Point (6.449469739142008 52.440559316580156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15801 | 9925 | Point (6.731432938040124 52.30666755357254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15833 | 22216 | Point (6.358311683083791 52.30988143332261)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15833 | 22216 | Point (6.358310788337039 52.30988101565609)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15852 | 34194 | Point (6.207206337371462 52.64601744740503)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15852 | 34194 | Point (6.207207876153466 52.646018056757825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15981 | 34148 | Point (6.718290001475875 52.26298701121021)
