Gevonden: 833 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10027 | 33744 | Point (5.897564354964569 51.002279043326986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10169 | 30868 | Point (5.839389558840121 50.886671746849046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10189 | 30946 | Point (5.859508860508276 50.91423221945058)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10308 | 34723 | Point (5.799145115626355 50.81321227827585)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10318 | 34786 | Point (5.809017164425627 50.76923013567209)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10335 | 39116 | Point (5.92668870572326 50.779670728110524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10423 | 37907 | Point (5.928393440063535 50.87112512663701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10509 | 33332 | Point (5.88298548399966 50.94349182660851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10586 | 18843 | Point (5.861955706256949 50.818769045455845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10727 | 30886 | Point (5.817552863709339 50.90706096696159)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10760 | 37936 | Point (5.915176418114152 50.8980361939505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10791 | 39195 | Point (5.943578334636243 50.798907791071336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10978 | 39207 | Point (5.920441130766127 50.785030175518024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11122 | 21240 | Point (5.995937221781154 50.87828606069769)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11226 | 30935 | Point (5.868331964445287 50.90946769301184)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11378 | 21245 | Point (5.927736339165435 50.90365919568971)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11381 | 39134 | Point (5.938738421671036 50.790283654657905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11388 | 39122 | Point (5.91107818215192 50.789657376598164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11392 | 37910 | Point (5.878614881632138 50.8790329367322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11488 | 34660 | Point (5.761224085954182 50.827714449653605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11496 | 39144 | Point (5.910672356474033 50.776310688500345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11517 | 34797 | Point (5.813735076839702 50.76898807878211)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11545 | 28080 | Point (5.714124350841694 50.90081071174829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11609 | 37921 | Point (5.896101890422385 50.87614376428369)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11643 | 34858 | Point (5.760910411003283 50.94716839343961)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11787 | 39180 | Point (5.932047651306386 50.8376061795812)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11802 | 39221 | Point (5.92697228976386 50.796739361191655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11843 | 34645 | Point (5.813007363933131 50.774644752680345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11870 | 28035 | Point (5.736933240147764 50.853031191889045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11933 | 33611 | Point (5.958332490362164 50.83601406651371)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12170 | 518654 | Point (5.972892477239285 50.851402211408946)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12193 | 46804 | Point (5.881980534044062 50.91741026449865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12202 | 39115 | Point (5.926648159370638 50.77984170696465)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12213 | 15493 | Point (5.704980763101794 50.76785554648057)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12239 | 39249 | Point (5.922723859143352 50.76658335137855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12721 | 34712 | Point (5.732962570394976 50.80809897033469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12806 | 37924 | Point (5.89194427107978 50.86358648781094)
