Gevonden: 399 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432527108714292 52.12181892242426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432526844892408 52.121819079143776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10901 | 38388 | Point (4.390959691405469 52.11825723103372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.42813124712367 51.809964141583976)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12016 | 31916 | Point (4.428132076757907 51.80996428648185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.24753704013358 51.84690332757336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12592 | 9359 | Point (4.247537855162298 51.846903208960526)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293912864591789 51.995491310774106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293913065484755 51.99549126470056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416562663958276 51.86165408151197)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13005 | 32467 | Point (4.416563321025207 51.861654210234505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434823025952 52.12175968240293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434560809904 52.12175984568419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306442442822 52.0604668279408)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306399371472 52.06046704050618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268031084456297 51.94905381263201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268030692256633 51.949053899165555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552631857113 52.15738271483664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552229598673 52.15738283285712)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.387204465700454 51.94735921661131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.38720482906271 51.94735930532278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.41858784870208 52.099305765737924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.418587661758173 52.09930590248643)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14585 | 33386 | Point (4.333900992651824 51.948305079921504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965474454384 52.153707887799186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965086968775 52.15370801029275)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433726162268089 52.14979184035828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433725799513937 52.149792000287064)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059808336053 51.93795477712459)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059372768778 51.937954857576024)
