Gevonden: 269 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10085 | 22129 | Point (5.847451764480392 51.249575964184295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566262020193 51.67769520943255)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566414781632 51.6776960734073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11345 | 14649 | Point (5.519544915066162 51.44806488079224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11469 | 22652 | Point (5.990183120019508 51.43779882635829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11557 | 37218 | Point (5.973153529565921 51.50925715903077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11834 | 33661 | Point (5.493129741307529 51.58221942409294)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11834 | 33661 | Point (5.493129804462922 51.582220297861625)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12358 | 14644 | Point (5.521802532172703 51.423460255693705)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12685 | 21451 | Point (5.651047436199149 51.496461273608936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12915 | 526221 | Point (5.42789288115859 51.347530567377746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12915 | 526221 | Point (5.427893073195191 51.34753146034824)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13498 | 520480 | Point (5.414848565865885 51.564610662321876)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13498 | 520480 | Point (5.414848744815234 51.56461153269026)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773166158386676 51.58142318763177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773165820528767 51.58142401535065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565908395845 51.673456744759)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14413 | 518547 | Point (5.935565473159838 51.673457495163014)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068913260099 51.509783789058794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068718668378 51.509784655427076)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15731 | 38189 | Point (5.441021112436888 51.379382126393864)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16312 | 41951 | Point (5.458331012409356 51.29785315231115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16312 | 41951 | Point (5.45833113975215 51.297854054068104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626338132442098 51.49955183567977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626337965733367 51.499552706255244)
