Gevonden: 175 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | Lekdijk West | 48 | 3411MX | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | Lekdijk West | 47 | 3411MX | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10369 | Lekdijk West | 47 A | 3411MX | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10767 | Benschopperstraat | 26 | 3401DH | IJsselstein
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10812 | Noordzijde | 12 | 2977AD | Goudriaan
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11062 | Lopikerweg West | 6 | 3411AL | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11384 | Benedeneind NZ | 416 | 3405CD | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11482 | Dorp | 128 | 3405BG | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12150 | Dorp | 227 | 3405BE | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12684 | Noordzijde | 73 | 2977XB | Goudriaan
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12739 | Zuidzijde | 165 | 2977AM | Goudriaan
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12739 | Zuidzijde | 165 A | 2977AM | Goudriaan
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12886 | Lakerveld | 189 | 4128LH | Lexmond
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13061 | Lopikerweg oost | 107 A | 3411LW | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13061 | Lopikerweg oost | 107 | 3411LW | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13210 | Benedendamsestraat | 9 | 4233EN | Ameide
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13475 | Benedeneind NZ | 432 | 3405CD | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14665 | Benedeneind ZZ | 311 | 3405CL | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14742 | Noordzijdseweg | 183 | 3415RC | Polsbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14948 | Lopikerweg Oost | 146 | 3412KG | Lopikerkapel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14948 | Lopikerweg Oost | 147 | 3412KC | Lopikerkapel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14948 | Lopikerweg Oost | 148 | 3412KG | Lopikerkapel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15259 | Benedeneind ZZ | 419 | 3405CP | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15259 | Benedeneind ZZ | 419 A | 3405CP | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15901 | Boveneind NZ | 82 | 3405AK | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16174 | Boveneind NZ | 66 | 3405AJ | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16871 | Dorp | 65 | 3405BA | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16871 | Dorp | 67 | 3405BA | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17314 | Hei- en Boeicopseweg | 134 | 4126RM | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17314 | Hei- en Boeicopseweg | 136 | 4126RM | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17314 | Hei- en Boeicopseweg | 138 | 4126RM | Hei- en Boeicop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18211 | Dorp | 119 | 3405BB | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18441 | Dorp | 304 | 3405BL | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18441 | Dorp | 304 A | 3405BL | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18587 | Noordzijdseweg | 143 | 3415RB | Polsbroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19532 | Lopikerweg oost | 101 B | 3411LW | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19532 | Laanwijk | 2 | 3411LT | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19532 | Laanwijk | 1 | 3411LT | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19532 | Lopikerweg Oost | 102 | 3411LW | Lopik
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20069 | Noordzijde | 120 | 4225PM | Noordeloos
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20087 | Boveneind ZZ | 3 | 3405AM | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20257 | Benedeneind ZZ | 417 | 3405CP | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20434 | Benedeneind ZZ | 249 | 3405CJ | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20434 | Benedeneind ZZ | 251 | 3405CJ | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20768 | Benedeneind NZ | 400 | 3405CC | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21151 | Lopikerweg Oost | 129 A | 3412KC | Lopikerkapel
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21339 | Achthoven | 45 | 4128LW | Lexmond
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21741 | Dorp | 183 | 3405BC | Benschop
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22092 | Lopikerweg West | 33 | 3411AN | Lopik
