Gevonden: 23 resultaat/resultaten

rm | rmnr | fNaam
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23814 | 41913 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26817 | 41905 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28477 | 11666 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30609 | 10587 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31074 | 11673 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36155 | 11668 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39296 | 10576 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39636 | 41898 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48519 | 11652 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/56511 | 41596 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/58557 | 41904 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60826 | 509860 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/68345 | 518238 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/69191 | 527192 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/69192 | 527191 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/69193 | 527190 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/70013 | 526306 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/75118 | 506328 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/77690 | 526286 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/78854 | 401152 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/78855 | 401151 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/78856 | 401149 | Boerderij (M)
