Gevonden: 591 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.95466314715688 51.658752549565406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.954663855384985 51.65875323243754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10063 | 38345 | Point (4.965008421137739 51.677703043644414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932537637046493 51.68601213982782)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932538323323517 51.686012806056254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522619979776 51.88206823954896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522954223565 51.882068898426006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10677 | 39617 | Point (5.054614900183468 51.78668994178061)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542454296086 51.846187125912095)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10851 | 515493 | Point (4.875542885647283 51.84618774584821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882077280349025 51.852319221171584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10932 | 16106 | Point (4.882076865088548 51.85231859617703)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.07429658978556 51.569058425992)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.074297272073429 51.569059186872394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866726621322576 51.84426079738121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11212 | 16117 | Point (4.866727061865107 51.844261410382536)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | 21998 | Point (5.021605078257222 51.85752848648849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11629 | 387601 | Point (4.717133939150447 51.606281049201996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11629 | 387601 | Point (4.717135063884747 51.60628153755732)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078156733613304 51.87901056798021)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078157000588716 51.87901132065425)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11647 | 33275 | Point (4.657254469079454 51.558794381688045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11928 | 521011 | Point (5.052738718823456 51.73281657374941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12042 | 23545 | Point (5.05723099038727 51.87481003465077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12042 | 23545 | Point (5.057231273404851 51.874810775985196)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296668831379 51.856747927327966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12097 | 16120 | Point (4.896296270372998 51.85674729146664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12269 | 22153 | Point (5.078258178190295 51.482813604689035)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12269 | 22153 | Point (5.078258965047337 51.4828143745672)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12347 | 14207 | Point (4.955150602402846 51.74858699212765)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12363 | 9638 | Point (4.759993980630164 51.86808969277576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12425 | 334657 | Point (5.058408258344116 51.78324007556261)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.94594255591694 51.880260952091504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12541 | 22626 | Point (4.945942227228519 51.88026028022258)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12567 | 23548 | Point (5.070291160405938 51.87615903338196)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12567 | 23548 | Point (5.070290885714058 51.876158284909444)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12617 | 29958 | Point (4.843242258375769 51.881888631430776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12719 | 32281 | Point (4.904119127031897 51.68625793411119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12719 | 32281 | Point (4.904119844565204 51.68625857963513)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12989 | 21996 | Point (5.037677725220743 51.857083059485845)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13190 | 23549 | Point (5.075866908359556 51.876218132870136)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13190 | 23549 | Point (5.075867180235465 51.87621888432414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13329 | 35129 | Point (4.813536107081106 51.625733367698615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13329 | 35129 | Point (4.813535157373275 51.6257327918829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13476 | 25746 | Point (4.678971955095434 51.89498129757175)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13494 | 10416 | Point (4.704300371565048 51.56217942981632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13494 | 10416 | Point (4.704301624134827 51.56217990845966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13672 | 10596 | Point (5.035746980568007 51.745467636195386)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13731 | 39610 | Point (5.032514008860321 51.795757487832454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14024 | 31897 | Point (4.727697620175857 51.860479213071855)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14039 | 41117 | Point (4.606461670700321 51.48428903720541)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14105 | 15423 | Point (4.651590130127625 51.58531209510968)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14266 | 38336 | Point (4.934320677971621 51.685578604634124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14266 | 38336 | Point (4.934321363031168 51.685579272145496)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14486 | 10346 | Point (4.750049369451124 51.56195232802085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14486 | 10346 | Point (4.750050552772878 51.56195285090055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14546 | 29964 | Point (4.808746316949613 51.87296003784548)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14733 | 30536 | Point (4.699259110643046 51.893672663181974)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14733 | 30536 | Point (4.699258696243822 51.89367220064554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15050 | 39618 | Point (5.068975713631974 51.77873903131373)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15216 | 32485 | Point (4.60222908254027 51.876866835265524)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15216 | 32485 | Point (4.602228575122943 51.87686647605227)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15251 | 38348 | Point (4.964557550433709 51.67791645761317)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15251 | 38348 | Point (4.964558214622059 51.67791714629534)
