Gevonden: 492 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101761449171687 53.14579436084177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101759140150004 53.145793557236544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10359 | 31399 | Point (6.329429669645822 53.30955490111999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860290737134256 53.04967149622885)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860292009184255 53.04967242570359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.08841348394238 53.372824561430285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.088416179988857 53.372825438824925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.367474801137814 52.83375447868464)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11257 | 46582 | Point (6.36747722209548 52.83375496031603)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895623427900585 53.19525208102647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895625006502764 53.19525303087713)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213658887899398 53.23812449549808)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213661846303574 53.238125228792825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12099 | 23669 | Point (6.393176535103047 53.38594730661345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920998641945065 52.93176673453182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920999967427598 52.93176760567124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924373275027 52.85662693943281)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12488 | 46727 | Point (6.31924608378005 52.85662747764237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157247907359409 53.21172252798477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157245241614468 53.21172175196671)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941473746131514 53.13133900824879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941475418593825 53.13133991619158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13696 | 11699 | Point (5.942968544300543 53.31171230337326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13793 | 23764 | Point (6.085926970792889 53.292626435901454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114187682074174 53.27982403692482)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114190310046139 53.27982486718948)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232675557991432 53.13371768391237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232678340613477 53.13371837179404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158251473191371 53.292461700146866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158254318961575 53.292462497731286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258672649341352 52.8301238408115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258674761921293 52.83012443490146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299400336889995 53.14830724220268)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299403412084242 53.14830786801617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150523322532567 53.27948179870821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150526106667336 53.27948259915352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921067379420438 53.355758035240456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921069274606936 53.35575901734851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156573510934796 52.831949813205)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15133 | 46971 | Point (6.156575347862103 52.831950500169306)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094291538677313 53.23583188503071)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094293994875803 53.23583271854965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15671 | 14244 | Point (6.39092764199215 52.8243205021549)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15671 | 14244 | Point (6.390930099225185 52.824320955586394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16384 | 510496 | Point (6.023831567852995 52.96356121144577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148079785591984 52.866460779104806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16669 | 37502 | Point (6.148077897902741 52.86646007803391)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.384758035344775 53.18422893819576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.38475452452997 53.18422839557259)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16987 | 22887 | Point (5.817830396862242 53.10490739790469)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16987 | 22887 | Point (5.817831574450824 53.10490835998665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334881977857172 53.28679513556941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334885578154163 53.286795761252364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17347 | 14223 | Point (6.367929355991421 52.83207962865347)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17347 | 14223 | Point (6.367926938663702 52.832079147851324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17490 | 14224 | Point (6.367961447899428 52.832294555963564)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17490 | 14224 | Point (6.367963865948363 52.832295036769445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262816344463558 53.076016294337514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262813594398211 53.07601564989326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17577 | 15582 | Point (5.808873991180307 53.33226704570186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17577 | 15582 | Point (5.808875349675277 53.332268074369324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17817 | 14237 | Point (6.348166481584253 52.82421453043803)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17817 | 14237 | Point (6.348168822367873 52.824215031390516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18481 | 7040 | Point (6.126847477764186 53.20145341111742)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18481 | 7040 | Point (6.126849998362292 53.20145420956579)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246326980684334 53.26527512278794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246330142931373 53.2652758328041)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19113 | 387957 | Point (6.07199768414375 53.05947554937283)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19113 | 387957 | Point (6.071999716761009 53.05947635370825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.293679701138303 53.25917601988912)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.29368304911582 53.259176681162714)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145522954159518 53.369423071417486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145525908500216 53.369423902122605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19478 | 31814 | Point (6.08938795314009 53.06013940914336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19676 | 23758 | Point (6.105830715930417 53.26414936448088)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19676 | 23758 | Point (6.105833276586965 53.2641501969238)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20764 | 15598 | Point (5.82574255650961 53.33934101241112)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20764 | 15598 | Point (5.825743998006383 53.33934203615448)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21652 | 38701 | Point (6.003447831775793 53.373810970822966)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21652 | 38701 | Point (6.003450134331649 53.3738119087506)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21677 | 31403 | Point (6.333956333062222 53.29176263734197)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21677 | 31403 | Point (6.333959943268808 53.29176326541583)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21951 | 14249 | Point (6.360757175235643 52.85596278789388)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21951 | 14249 | Point (6.360759641779714 52.85596328134767)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21959 | 38736 | Point (5.917890414334112 53.35754219882788)
