Gevonden: 913 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850792920493186 52.253509345555045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850794032175615 52.25350907113598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.83711171121407 52.65916548941046)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10299 | 46558 | Point (6.837114630857417 52.6591652808116)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10332 | 31753 | Point (6.897929940962622 52.40743649912293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713783172335992 52.759868347509645)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10440 | 31631 | Point (6.713786240702256 52.75986835542208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10444 | 7552 | Point (6.692745120569566 52.30653491519615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244597978237215 52.767639670791276)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244599897263686 52.767640266478914)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212699655861473 52.6481993165875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212701211373748 52.64819992131554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11329 | 20021 | Point (6.583263770193374 52.5458839066637)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11361 | 39662 | Point (6.247144016936804 52.68133498410361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11946 | 31464 | Point (6.529474689508625 52.513778322848225)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12025 | 35756 | Point (6.896968834524704 52.43312988725351)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710775773562 52.7133648298329)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12037 | 32974 | Point (6.39710561733923 52.7133644036478)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12225 | 28134 | Point (6.54027517019061 52.27451261474615)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577499792602274 52.34480204918821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12245 | 38907 | Point (6.577501023202623 52.344802201265075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242051855459219 52.67356106585662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242053535602049 52.673561647482195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.2250404626001 52.69474910875138)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.225038768760185 52.69474850764085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12692 | 8452 | Point (6.335602734662185 52.65171360237734)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13043 | 35771 | Point (6.831079430476002 52.43388856402326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13176 | 7556 | Point (6.616781094453255 52.24278415155277)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13276 | 41524 | Point (6.717442007127008 52.78609890523669)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401149987049306 52.715469030988906)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13392 | 32973 | Point (6.401152143232165 52.71546945289433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13443 | 17200 | Point (6.713816935260826 52.61154819286266)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.813604643871609 52.69584284375352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13761 | 46561 | Point (6.81360161186159 52.69584300710077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742509185668724 52.77850922833479)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13935 | 41530 | Point (6.742512403649676 52.77850919450119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13983 | 21366 | Point (6.230630180974687 52.45883031485427)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13991 | 31463 | Point (6.528484054329114 52.514210299971936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14206 | 21524 | Point (6.819419177312117 52.25483757997314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848197074562383 52.66046789987606)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14597 | 11511 | Point (6.848200023779711 52.66046767253177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14610 | 12354 | Point (6.888255938846119 52.39391445807018)
