Gevonden: 254 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10433 | Lunterseweg | 80 | 6718WH | Ede
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10459 | Heiligegeeststeeg | 3 | 6981AW | Doesburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | Bovenstraatweg | 61 A | 8096PD | Oldebroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | Bovenstraatweg | 61 | 8096PD | Oldebroek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | Zuiderzeestraatweg | 59 | 3849AB | Hierden
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | Smeesteeg | 4 | 8081EN | Elburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12517 | Ganzenebbeweg | 6 | 8171LL | Vaassen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12787 | 5 Mei Plein | 13 | 6701DW | Wageningen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | Mr J H Schoberlaan | 1 | 3881NB | Putten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | Sprielderweg | 205 | 3852MK | Ermelo
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13800 | Kerkweg | 15 | 8193KJ | Vorchten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | Vierhouterweg | 2 a | 8075BJ | Elspeet
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | Vierhouterweg | 2 b | 8075BJ | Elspeet
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | Apeldoornseweg | 13 | 8075BM | Elspeet
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14978 | Hoge Boeschoterweg | 69 | 3886PP | Garderen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15007 | Binnenweg | 32 | 6955AX | Ellecom
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15140 | Vlijtweg | 31 | 8161CC | Epe
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15317 | Dorpsstraat | 34 | 6741AL | Lunteren
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15477 | Arnhemse Karweg | 6 | 3881NG | Putten
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15786 | Bredeweg | 71 | 6668AS | Randwijk
