Gevonden: 1786 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10009 | 22803 | Point (6.233440789560769 52.00611847256203)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10028 | 32266 | Point (6.379483883423635 52.39699888484007)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10087 | 523087 | Point (5.566618392253106 51.89020110486803)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10098 | 34561 | Point (6.1797951177705 52.075847144413366)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10175 | 523675 | Point (5.842109122725913 51.89837333659632)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10258 | 22819 | Point (6.268064359182889 52.002583474011175)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10266 | 22818 | Point (6.266432091311117 52.006236069071036)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10433 | 14461 | Point (5.637367042148115 52.06582629824005)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10433 | 14461 | Point (5.637367132582608 52.06582715432231)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10459 | 12967 | Point (6.132340615821854 52.016177255551355)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | 31370 | Point (5.891123477777647 52.43319573065505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10735 | 38117 | Point (6.272645285218411 52.09582324148149)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10754 | 9310 | Point (5.680334243820663 51.83492744052795)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244597978237215 52.767639670791276)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244599897263686 52.767640266478914)
