Gevonden: 860 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | 31370 | Point (5.891123477777647 52.43319573065505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006983470243219 52.52368067581267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006984383617017 52.52368142192132)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11012 | 20253 | Point (5.653700141325693 52.35418541406134)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11022 | 523344 | Point (6.114232808995712 52.271736783238616)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11205 | 30966 | Point (5.520578237995598 52.200980825331605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11278 | 38091 | Point (6.113719905412788 52.2493146915594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196007562319708 52.59949420291148)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196008969973798 52.59949481504303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970713759655 52.254329898971875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11940 | 8187 | Point (5.776970997419914 52.25433073010902)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833716365095028 52.44915431057477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833715824830051 52.449153481323286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12192 | 38037 | Point (6.147923463548732 52.17021897502665)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12517 | 15358 | Point (6.00390616799467 52.289566474458915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12517 | 15358 | Point (6.003906687163966 52.28956719613439)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12603 | 10500 | Point (6.090691261587661 52.717530352645596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12686 | 38078 | Point (6.089141080305972 52.28418415972629)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500924040683 52.15588186244516)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12808 | 517750 | Point (5.467500979456039 52.15588273488926)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640260171147 52.230195598873316)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12892 | 32216 | Point (5.538640355953922 52.230196476182925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13423 | 10526 | Point (6.08427062444078 52.75029021474899)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420444958012 52.25364825307075)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13520 | 32231 | Point (5.628420612799862 52.25364912257361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816005709741 52.26455606369781)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13578 | 15363 | Point (5.677816218091848 52.264556924437144)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13633 | 22197 | Point (5.461733918298928 52.176334032968164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13800 | 21156 | Point (6.106725740545278 52.39898007139728)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | 30844 | Point (5.789608241381195 52.291372150943715)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13989 | 30844 | Point (5.78960791278107 52.29137132114801)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14139 | 10501 | Point (6.089819806432167 52.725956456122596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14420 | 12893 | Point (6.138025568235236 52.29509173064169)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14420 | 12893 | Point (6.138024917059917 52.29509110553424)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187345474110611 52.63373219876348)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187346943052654 52.63373282382467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14508 | 10509 | Point (6.033911680405454 52.7270912520894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.19751665664483 52.60129040600222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.197518071396588 52.60129101706486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14978 | 8623 | Point (5.668455058286109 52.21813044213378)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.91213856501791 52.56228982018774)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.912139370185122 52.5622906274555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15011 | 38089 | Point (6.110740760513283 52.25882439807501)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15140 | 15331 | Point (5.989831113111293 52.349723767908756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15140 | 15331 | Point (5.98983050929635 52.34972303169807)
