Gevonden: 1051 resultaat/resultaten (max 2000 getoond)

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.954663855384985 51.65875323243754)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10062 | 18150 | Point (4.95466314715688 51.658752549565406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10063 | 38345 | Point (4.965008421137739 51.677703043644414)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932537637046493 51.68601213982782)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10064 | 38337 | Point (4.932538323323517 51.686012806056254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10087 | 523087 | Point (5.566618392253106 51.89020110486803)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566262020193 51.67769520943255)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10106 | 526636 | Point (5.416566414781632 51.6776960734073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916543026976 51.66827063065985)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10150 | 14196 | Point (5.379916345853808 51.66826977095106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522619979776 51.88206823954896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10535 | 30651 | Point (4.927522954223565 51.882068898426006)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10590 | 523132 | Point (5.135649215879788 51.819915124351965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10677 | 39617 | Point (5.054614900183468 51.78668994178061)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10862 | 31603 | Point (5.228979957942695 51.44764650320311)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10948 | 31256 | Point (5.299654311817442 51.52231769054074)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10996 | 37052 | Point (5.359156103482033 51.41423959032921)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10996 | 37052 | Point (5.359156421746061 51.41424046620753)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11070 | 15376 | Point (5.301959299879114 51.6146853549822)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11070 | 15376 | Point (5.301959618481403 51.614686201940785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11129 | 523090 | Point (5.517774335569886 51.82308681426528)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.07429658978556 51.569058425992)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11188 | 35711 | Point (5.074297272073429 51.569059186872394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11228 | 28530 | Point (5.564767652746046 51.82253881388612)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11228 | 28530 | Point (5.564767675850671 51.822539675536454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11345 | 14649 | Point (5.519544915066162 51.44806488079224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11355 | 21998 | Point (5.021605078257222 51.85752848648849)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11461 | 32731 | Point (5.337110031990713 51.80364423143294)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918175691731 51.501428654941954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11578 | 518915 | Point (5.125918857691086 51.501429446936655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11625 | 35839 | Point (5.136683196630432 51.61279526304771)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11634 | 23551 | Point (5.078157000588716 51.87901132065425)
