Gevonden: 48 resultaat/resultaten

rm | rmnr | fNaam
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | 13206 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13236 | 38787 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17178 | 28110 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17243 | 13204 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22705 | 36868 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/23025 | 39101 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24144 | 38852 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24778 | 38854 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28121 | 21442 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28617 | 38839 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30388 | 38782 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30424 | 38821 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30520 | 520830 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30970 | 38784 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31140 | 42155 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36607 | 29909 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38391 | 37010 | Uitspanning
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38391 | 37010 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/38888 | 42156 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/39064 | 42165 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/40270 | 36867 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42095 | 38835 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/42651 | 16137 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/44411 | 520828 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/44514 | 28109 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45732 | 38885 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48043 | 42161 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/48210 | 42164 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/49548 | 36990 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/51546 | 39095 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/52002 | 36866 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/53637 | 42160 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54281 | 38783 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55501 | 38781 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/56718 | 522878 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57404 | 39102 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/57552 | 38823 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59071 | 520829 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59274 | 21436 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59942 | 38820 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60318 | 38822 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60930 | 381880 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67084 | 530642 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67089 | 530005 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67271 | 528734 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/67273 | 520094 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/69137 | 16260 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/74658 | 530045 | Boerderij(M1)
