Gevonden: 10 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | Kaaistraat | 18 | 3231KC | Brielle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | Kaaistraat | 20 | 3231KC | Brielle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24381 | Rozemarijnstraat | 4 | 3231AL | Brielle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28121 | Tussenweg | 4 | 3222EN | Hellevoetsluis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30520 | Heveringseweg | 66 | 3233SE | Oostvoorne
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/44411 | Duinstraat | 18 | 3235NK | Rockanje
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/45732 | Heveringseweg | 25 | 3233SB | Oostvoorne
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59071 | Duinstraat | 22 | 3235NK | Rockanje
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/59274 | Breeweg | 2 | 3222LA | Hellevoetsluis
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/74658 | Windgatseweg | 16 | 3235NX | Rockanje
