Gevonden: 247 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10027 | 33744 | Point (5.897564354964569 51.002279043326986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10085 | 22129 | Point (5.847451764480392 51.249575964184295)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10097 | 34916 | Point (5.7219569433542 51.19511024351718)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11102 | 34889 | Point (5.845875850680627 51.13223218140395)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11345 | 14649 | Point (5.519544915066162 51.44806488079224)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11469 | 22652 | Point (5.990183120019508 51.43779882635829)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11557 | 37218 | Point (5.973153529565921 51.50925715903077)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11834 | 33661 | Point (5.493129741307529 51.58221942409294)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11834 | 33661 | Point (5.493129804462922 51.582220297861625)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12358 | 14644 | Point (5.521802532172703 51.423460255693705)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12685 | 21451 | Point (5.651047436199149 51.496461273608936)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12915 | 526221 | Point (5.42789288115859 51.347530567377746)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12915 | 526221 | Point (5.427893073195191 51.34753146034824)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13498 | 520480 | Point (5.414848565865885 51.564610662321876)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13498 | 520480 | Point (5.414848744815234 51.56461153269026)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773166158386676 51.58142318763177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13591 | 518092 | Point (5.773165820528767 51.58142401535065)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13883 | 22849 | Point (5.804622751888144 51.16434335513595)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068913260099 51.509783789058794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14738 | 6940 | Point (5.646068718668378 51.509784655427076)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14977 | 35478 | Point (5.844222073800121 51.16273804984473)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15731 | 38189 | Point (5.441021112436888 51.379382126393864)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16312 | 41951 | Point (5.458331012409356 51.29785315231115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16312 | 41951 | Point (5.45833113975215 51.297854054068104)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626338132442098 51.49955183567977)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16552 | 10437 | Point (5.626337965733367 51.499552706255244)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16599 | 35522 | Point (5.842063656032122 51.15987906635806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16792 | 33746 | Point (5.826965563447688 51.002829246238264)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17196 | 35457 | Point (5.841767422185459 51.16172295066123)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17549 | 517779 | Point (5.891151680809308 51.42644777682806)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17549 | 517779 | Point (5.891150968466768 51.42644856989961)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17616 | 14262 | Point (5.874801889520752 51.08876967482208)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17646 | 38466 | Point (5.702886996193548 51.2719551206177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17742 | 38187 | Point (5.439155244196758 51.39318063749911)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18030 | 6944 | Point (5.623632150746431 51.519252387099776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18058 | 35534 | Point (5.843076509960697 51.15966834945796)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18148 | 35536 | Point (5.843166673282751 51.15723200360717)
