Gevonden: 530 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259894831014 52.12742991397416)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10218 | 21054 | Point (4.578259655966269 52.1274302530341)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432527108714292 52.12181892242426)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10876 | 38008 | Point (4.432526844892408 52.121819079143776)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10901 | 38388 | Point (4.390959691405469 52.11825723103372)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226466366262 52.11864103189915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12132 | 41054 | Point (4.525226239494598 52.118641307323905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008751559143 52.13105612239168)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12648 | 327101 | Point (4.588008998374959 52.13105577190073)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529015974443088 52.007202295302314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12687 | 9628 | Point (4.529016106245794 52.007202570683745)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293912864591789 51.995491310774106)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12852 | 33394 | Point (4.293913065484755 51.99549126470056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522191157071934 52.112515657840454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13126 | 41056 | Point (4.522190949248648 52.112515929215384)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534564339117 52.14951280370997)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13217 | 25697 | Point (4.523534236662014 52.149513078846056)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.598654136440637 51.9242036817368)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13248 | 23816 | Point (4.59865450701457 51.92420403719552)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434823025952 52.12175968240293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13390 | 38033 | Point (4.437434560809904 52.12175984568419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306399371472 52.06046704050618)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13406 | 41028 | Point (4.477306442442822 52.0604668279408)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268030692256633 51.949053899165555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13460 | 26599 | Point (4.268031084456297 51.94905381263201)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552631857113 52.15738271483664)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13495 | 38371 | Point (4.402552229598673 52.15738283285712)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13789 | 25688 | Point (4.550168977973944 52.13948533863865)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.387204465700454 51.94735921661131)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13850 | 33298 | Point (4.38720482906271 51.94735930532278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.41858784870208 52.099305765737924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14002 | 25730 | Point (4.418587661758173 52.09930590248643)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14232 | 23817 | Point (4.5979830851456 51.92350705513875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14232 | 23817 | Point (4.597983458006353 51.92350740983109)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14585 | 33386 | Point (4.333900992651824 51.948305079921504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965474454384 52.153707887799186)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15085 | 38372 | Point (4.405965086968775 52.15370801029275)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15097 | 11470 | Point (4.593752859520245 51.940781647032644)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15097 | 11470 | Point (4.593753182853884 51.94078199715399)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433726162268089 52.14979184035828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15137 | 38393 | Point (4.433725799513937 52.149792000287064)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15224 | 38286 | Point (4.502933501833342 52.19518286910952)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15224 | 38286 | Point (4.502933014169704 52.19518312173119)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15293 | 25896 | Point (4.538224308649857 52.235997283309715)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059372768778 51.937954857576024)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15394 | 26584 | Point (4.272059808336053 51.93795477712459)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15446 | 8996 | Point (4.553678131117463 52.07748985140911)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15446 | 8996 | Point (4.553678041391483 52.07749015909161)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15895 | 41021 | Point (4.493422595207788 52.05741725353879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15895 | 41021 | Point (4.493422563642195 52.057417486506274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16391 | 525076 | Point (4.576979787619341 52.01116493864432)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16926 | 41052 | Point (4.527254600069001 52.12173914902332)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16926 | 41052 | Point (4.527254836388241 52.121738870948846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17048 | 524643 | Point (4.365549552230918 52.107567948722775)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17048 | 524643 | Point (4.365549323214391 52.1075680120785)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | 10672 | Point (4.167413949517397 51.90127376306697)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17223 | 10672 | Point (4.167414580052491 51.90127351435737)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17280 | 7105 | Point (4.558105356878006 52.217146071734376)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17280 | 7105 | Point (4.558104829377659 52.21714639318623)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17437 | 38386 | Point (4.394720513367179 52.12052700015934)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17437 | 38386 | Point (4.394720243588218 52.12052710521996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | 41042 | Point (4.500961786659115 52.12806979079846)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17464 | 41042 | Point (4.500961521694063 52.12807003667218)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17708 | 25727 | Point (4.419277196737429 52.10386863067815)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17708 | 25727 | Point (4.41927699357841 52.10386876858841)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17921 | 9669 | Point (4.59886010517168 52.3609558175996)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17921 | 9669 | Point (4.598859164333113 52.360956199561286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18279 | 12168 | Point (4.379016181857228 51.98035009080986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18279 | 12168 | Point (4.379016426525358 51.98035016864538)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18350 | 23534 | Point (4.400832020538664 52.17241507679145)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18350 | 23534 | Point (4.400831562448823 52.17241519339057)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18715 | 39531 | Point (4.568134382312984 52.16591999755025)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18715 | 39531 | Point (4.568134020747245 52.16592032717419)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18749 | 33290 | Point (4.360065191388083 51.949120803595655)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18749 | 33290 | Point (4.360065556215213 51.949120853987814)
