Gevonden: 64 resultaat/resultaten

rm | openbareRuimte | huisnummer | postcode | woonplaats
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 84 A | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 82 | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11023 | Prelaatweg | 82 A | 4363NJ | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11500 | Van Tilburghstraat | 50 | 4438AK | Driewegen
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12953 | Eversdijkseweg | 7 | 4421RC | Kapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14107 | Dishoekseweg | 30 | 4371NH | Koudekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17178 | Prelaatweg | 81 | 4363ND | Aagtekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17243 | Babelweg | 4 | 4357RJ | Domburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17467 | West Langeweg | 3 | 4453TA | 's-Heerenhoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17501 | Schansstraat | 12 | 4435AJ | Baarland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17957 | Werendijke | 12 | 4374SL | Zoutelande
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19950 | Hollepoldersedijk | 8 | 4454PX | Borssele
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/20647 | Bakendorpseweg | 2 | 4435NH | Baarland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21189 | Kerkring | 18 | 4444AB | 's-Heer Abtskerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/21338 | Zwaaksedijk | 2 | 4434RD | Kwadendamme
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22705 | Sint Janskerke | 8 | 4374SH | Zoutelande
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/22780 | 's-Heerenhoeksedijk | 5 | 4453CD | 's-Heerenhoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24144 | Prelaatweg | 1 | 4361JB | Westkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/24778 | Prelaatweg | 5 | 4361JB | Westkapelle
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25699 | Roverbergsedijk | 19 | 4586LA | Lamswaarde
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/26216 | Binnendijk | 5 | 4339PK | Nieuw- en Sint Joosland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/28579 | Kleine Huissenspolderweg | 5 | 4543PK | Zaamslag
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29268 | Binnendijk | 5 | 4542RX | Hoek
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30105 | Molenweg | 6 | 4543PA | Zaamslag
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30568 | Kloetingseweg | 19 | 4431PD | 's-Gravenpolder
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/30790 | Pykeswegje | 3 | 4462PC | Goes
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31177 | Valkenisseweg | 33 | 4373AR | Biggekerke
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31222 | Fransjesweg | 2 | 4434NA | Kwadendamme
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/31914 | Binnendijk | 3 | 4339PK | Nieuw- en Sint Joosland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/32954 | Groenewegje | 3 | 4434RG | Kwadendamme
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33696 | Hoofdweg | 6 | 4411AR | Rilland
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/33948 | Ritthemsestraat | 56 | 4388JS | Oost-Souburg
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/35135 | Landlustweg | 1 | 4455TK | Nieuwdorp
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36590 | Nissestelle | 1 | 4443RK | Nisse
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/36666 | Kerkhofweg | 2 | 4421RD | Kapelle
