Gevonden: 503 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101761449171687 53.14579436084177)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10043 | 33995 | Point (6.101759140150004 53.145793557236544)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464131627605264 53.06502805618869)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10256 | 30797 | Point (6.464128189723673 53.06502763769263)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447435113518844 53.22752560679959)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10310 | 7072 | Point (6.447439012198719 53.22752608697956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10359 | 31399 | Point (6.329429669645822 53.30955490111999)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.08841348394238 53.372824561430285)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11053 | 353637 | Point (6.088416179988857 53.372825438824925)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213661846303574 53.238125228792825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11263 | 18782 | Point (6.213658887899398 53.23812449549808)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459391867364639 53.065950856539764)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11413 | 30784 | Point (6.459395291404772 53.06595128110267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.461302653775789 53.0659966303572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11852 | 30786 | Point (6.4613060847611 53.06599705257576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12044 | 32147 | Point (6.481766499946629 53.14847933738611)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12099 | 23669 | Point (6.393176535103047 53.38594730661345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920998641945065 52.93176673453182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920999967427598 52.93176760567124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12315 | 478212 | Point (6.471984416466266 53.16851817606153)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494720244150522 53.15716663197103)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12410 | 478023 | Point (6.494724100836384 53.157167034701594)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432451332660686 53.13597018935943)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12633 | 32529 | Point (6.432447784206681 53.13596971487274)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458549571683269 53.04450713555267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12798 | 30813 | Point (6.458552923353571 53.04450755607575)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157247907359409 53.21172252798477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13244 | 7034 | Point (6.157245241614468 53.21172175196671)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941473746131514 53.13133900824879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941475418593825 53.13133991619158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13696 | 11699 | Point (5.942968544300543 53.31171230337326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13793 | 23764 | Point (6.085926970792889 53.292626435901454)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114187682074174 53.27982403692482)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13839 | 23755 | Point (6.114190310046139 53.27982486718948)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232675557991432 53.13371768391237)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13854 | 28283 | Point (6.232678340613477 53.13371837179404)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158251473191371 53.292461700146866)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13910 | 23741 | Point (6.158254318961575 53.292462497731286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14113 | 24024 | Point (6.41026538047149 53.36192818032179)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442469499638507 53.052890850296066)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14129 | 30806 | Point (6.442472821965742 53.05289129240788)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299400336889995 53.14830724220268)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14676 | 513649 | Point (6.299403412084242 53.14830786801617)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150523322532567 53.27948179870821)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14997 | 23724 | Point (6.150526106667336 53.27948259915352)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921069274606936 53.35575901734851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15004 | 38737 | Point (5.921067379420438 53.355758035240456)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094291538677313 53.23583188503071)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15451 | 7057 | Point (6.094293994875803 53.23583271854965)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16384 | 510496 | Point (6.023831567852995 52.96356121144577)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.38475452452997 53.18422839557259)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16822 | 23980 | Point (6.384758035344775 53.18422893819576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334881977857172 53.28679513556941)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17046 | 31401 | Point (6.334885578154163 53.286795761252364)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17385 | 32531 | Point (6.432409452636941 53.13561957781956)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17385 | 32531 | Point (6.432412999843144 53.135620052263924)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17412 | 15536 | Point (6.442866171313814 53.309411570188246)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17539 | 478213 | Point (6.451694859487794 53.11529307926298)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17539 | 478213 | Point (6.451698414684117 53.11529352527851)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262813594398211 53.07601564989326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17546 | 31807 | Point (6.262816344463558 53.076016294337514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18267 | 32143 | Point (6.496212980633136 53.1459826282881)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18267 | 32143 | Point (6.496216805379626 53.14598302627324)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18481 | 7040 | Point (6.126847477764186 53.20145341111742)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18481 | 7040 | Point (6.126849998362292 53.20145420956579)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246326980684334 53.26527512278794)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18650 | 18798 | Point (6.246330142931373 53.2652758328041)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18826 | 32540 | Point (6.479724032312923 53.17313833299272)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18826 | 32540 | Point (6.479727883809107 53.173138758846676)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19113 | 387957 | Point (6.07199768414375 53.05947554937283)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19113 | 387957 | Point (6.071999716761009 53.05947635370825)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.293679701138303 53.25917601988912)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19243 | 526116 | Point (6.29368304911582 53.259176681162714)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19293 | 32138 | Point (6.495827369290264 53.147703051668245)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19293 | 32138 | Point (6.495823540239062 53.14770265275003)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19424 | 14563 | Point (6.460115118318781 53.39838928373155)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145522954159518 53.369423071417486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19434 | 31555 | Point (6.145525908500216 53.369423902122605)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19478 | 31814 | Point (6.08938795314009 53.06013940914336)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19671 | 32536 | Point (6.4336237906713 53.1356364424877)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19671 | 32536 | Point (6.433620238808998 53.135635969491254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19676 | 23758 | Point (6.105830715930417 53.26414936448088)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19676 | 23758 | Point (6.105833276586965 53.2641501969238)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19677 | 46778 | Point (6.421520902346758 53.35978256564717)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/19677 | 46778 | Point (6.421525106105726 53.35978311398277)
