Gevonden: 17 resultaat/resultaten

rm | rmnr | fNaam
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11084 | 510595 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11563 | 18854 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15613 | 15298 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16519 | 18886 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25149 | 363393 | Stookhok
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25149 | 363393 | Schuur(M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/25149 | 363393 | Boerderij(M1)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/29692 | 18858 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/37324 | 18855 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/46937 | 15300 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/54834 | 15316 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/55600 | 15287 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/60079 | 18864 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/61356 | 15295 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/65329 | 387947 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/65330 | 387937 | Boerderij (M)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/65331 | 15286 | Boerderij (M)
