Gevonden: 235 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850792920493186 52.253509345555045)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10223 | 510605 | Point (6.850794032175615 52.25350907113598)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10332 | 31753 | Point (6.897929940962622 52.40743649912293)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10557 | 14623 | Point (6.727931952405767 52.0860919215888)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11040 | 26275 | Point (6.964200803616012 52.32314471162337)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11084 | 510595 | Point (6.84482481176854 52.19607097785595)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11084 | 510595 | Point (6.844825661731864 52.19607071048111)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11470 | 39079 | Point (6.716602605197434 51.90963652662178)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11515 | 39065 | Point (6.778463894457634 51.99278182097546)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11563 | 18854 | Point (6.85152992968999 52.136110706627804)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11977 | 12347 | Point (6.967691414240025 52.43885004409156)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12025 | 35756 | Point (6.896968834524704 52.43312988725351)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12478 | 34144 | Point (6.706846720891645 52.25502549180572)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12529 | 12358 | Point (6.97222580762924 52.418438426837504)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13043 | 35771 | Point (6.831079430476002 52.43388856402326)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14206 | 21524 | Point (6.819419177312117 52.25483757997314)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14610 | 12354 | Point (6.888255938846119 52.39391445807018)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923839426868139 52.211995285450584)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15278 | 15296 | Point (6.923840397048743 52.21199488074843)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15613 | 15298 | Point (6.844487914805963 52.196057160526365)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15613 | 15298 | Point (6.844488764516145 52.19605689372278)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15801 | 9925 | Point (6.731432938040124 52.30666755357254)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15981 | 34148 | Point (6.718290001475875 52.26298701121021)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16473 | 35779 | Point (6.738449434992033 52.42493237893756)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/16519 | 18886 | Point (6.828013085525522 52.13890848136772)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17323 | 35760 | Point (6.858192478465681 52.386813198197736)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17383 | 38413 | Point (6.896188876779112 52.33951140222519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17550 | 39082 | Point (6.71747025078658 51.954645031890905)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17595 | 34147 | Point (6.717789927942785 52.26292073511361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/17915 | 18875 | Point (6.740498544004001 52.147873949114185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18188 | 335533 | Point (6.855294839369353 52.21061145882576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18188 | 335533 | Point (6.855295760850035 52.21061117432273)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18370 | 15291 | Point (6.831868838160381 52.208842006068394)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18370 | 15291 | Point (6.831869737355736 52.20884176121935)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/18734 | 12352 | Point (6.875402669825145 52.3883328849191)
