Gevonden: 381 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10675 | 15823 | Point (5.506666068263628 53.15103758084121)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10675 | 15823 | Point (5.506666046529984 53.151036539407016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.53065003094286 53.23471236347915)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10755 | 8666 | Point (5.530649920072695 53.234711299821356)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860290737134256 53.04967149622885)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10807 | 35924 | Point (5.860292009184255 53.04967242570359)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895625006502764 53.19525303087713)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11258 | 512587 | Point (5.895623427900585 53.19525208102647)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929746792717 52.853243207203576)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11299 | 15926 | Point (5.565929528828307 52.853242240515016)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646183023799343 52.89309487094322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646182563634871 52.89309390711519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12106 | 35965 | Point (5.778009644588288 53.04201682449439)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920998641945065 52.93176673453182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920999967427598 52.93176760567124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12775 | 21570 | Point (5.594802345424644 53.118110037826675)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12775 | 21570 | Point (5.594801990019362 53.11810901163573)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13257 | 523369 | Point (5.785917177346325 53.13678411760164)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13257 | 523369 | Point (5.785916090126711 53.1367831346635)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776884135634058 52.94476215648651)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776883244832257 52.94476121732406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13345 | 8508 | Point (5.736069991577632 53.1146726443896)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13345 | 8508 | Point (5.736069109640537 53.11467165018185)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941475418593825 53.13133991619158)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13484 | 35642 | Point (5.941473746131514 53.13133900824879)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13760 | 8526 | Point (5.631692770288257 53.15488222437111)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13760 | 8526 | Point (5.631692264895562 53.15488119412367)
