Gevonden: 966 resultaat/resultaten

rm | rmnr | wkt
------------------------------------------------------------
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192924581198492 52.63912290901181)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10193 | 34357 | Point (6.192926074054875 52.639123530017)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10226 | 32272 | Point (6.257610083716346 52.42271059031954)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221610717505028 52.65212751407345)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10319 | 34226 | Point (6.221612301263765 52.65212811128191)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231254580515839 52.65257171335514)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10432 | 34274 | Point (6.231256185851077 52.652572301698704)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182064104613241 52.6324824397286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10594 | 34470 | Point (6.182065559831498 52.63248306920494)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10717 | 31370 | Point (5.891123477777647 52.43319573065505)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244597978237215 52.767639670791276)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10799 | 21014 | Point (6.244599897263686 52.767640266478914)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006983470243219 52.52368067581267)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/10874 | 39917 | Point (6.006984383617017 52.52368142192132)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212699655861473 52.6481993165875)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11229 | 34206 | Point (6.212701211373748 52.64819992131554)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196007562319708 52.59949420291148)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11311 | 34440 | Point (6.196008969973798 52.59949481504303)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11361 | 39662 | Point (6.247144016936804 52.68133498410361)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185550700849491 52.63413971625363)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11486 | 34454 | Point (6.185552167017036 52.63414034295085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646182563634871 52.89309390711519)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11761 | 33841 | Point (5.646183023799343 52.89309487094322)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833715824830051 52.449153481323286)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/11995 | 14852 | Point (5.833716365095028 52.44915431057477)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.18403546875419 52.632855696696986)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12221 | 34464 | Point (6.184036928878094 52.63285632451468)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242053535602049 52.673561647482195)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12259 | 34283 | Point (6.242051855459219 52.67356106585662)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920998641945065 52.93176673453182)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12304 | 510503 | Point (5.920999967427598 52.93176760567124)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185723286948257 52.63469577700084)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12317 | 34453 | Point (6.185724754738073 52.63469640363518)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.225038768760185 52.69474850764085)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12399 | 28645 | Point (6.2250404626001 52.69474910875138)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.19658577278163 52.60445136637832)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12510 | 34425 | Point (6.196587193030462 52.60445197874701)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12603 | 10500 | Point (6.090691261587661 52.717530352645596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183057848246737 52.62609534875059)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12689 | 34393 | Point (6.183056405470936 52.62609472114321)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183257540824264 52.623334228901406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/12830 | 34396 | Point (6.183258977748021 52.62333485590187)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190867989494363 52.63653048144607)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13052 | 34329 | Point (6.190869472122632 52.63653110385433)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196664150874616 52.600685068507445)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13077 | 34437 | Point (6.196665562561818 52.600685680236055)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776883244832257 52.94476121732406)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13259 | 13249 | Point (5.776884135634058 52.94476215648651)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13423 | 10526 | Point (6.08427062444078 52.75029021474899)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.185121223647642 52.63407968870633)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13665 | 34456 | Point (6.18512268879215 52.63408031576949)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.190826808004744 52.63743013490004)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13952 | 34362 | Point (6.19082532340227 52.63742951231142)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/13983 | 21366 | Point (6.230630180974687 52.45883031485427)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14139 | 10501 | Point (6.089819806432167 52.725956456122596)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258672649341352 52.8301238408115)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14248 | 21044 | Point (6.258674761921293 52.83012443490146)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187345474110611 52.63373219876348)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14495 | 34375 | Point (6.187346943052654 52.63373282382467)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14508 | 10509 | Point (6.033911680405454 52.7270912520894)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14713 | 15937 | Point (5.600477571895572 52.87205715285222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14713 | 15937 | Point (5.600477891818565 52.87205811963639)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.197518071396588 52.60129101706486)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14857 | 34435 | Point (6.19751665664483 52.60129040600222)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14967 | 34266 | Point (6.221880821132002 52.65078649185473)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/14967 | 34266 | Point (6.221882402245304 52.65078708859828)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.91213856501791 52.56228982018774)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15001 | 23144 | Point (5.912139370185122 52.5622906274555)
https://linkeddata.cultureelerfgoed.nl/cho-kennis/id/rijksmonument/15063 | 15941 | Point (5.620813210443934 52.88104149851814)
